Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile
PROD_au8FuncSchematicNum|uint8|NVMSRV|1|1|5|PROD_2_PSAIDENT_NvMRamBlockDataStruct.PROD_au8FuncSchematicNum|0|0|Déci|-|1|1|0|Nvram|Nvram||PROD_au8FuncSchematicNum||4||||||||0|1||||1|0|0||0
PROD_au8Prod5Reserve|uint8|NVMSRV|1|1|21|PROD_5_CIENUM_NvMRamBlockDataStruct.PROD_au8Prod5Reserve|0|0|Déci|-|1|1|0|Nvram|Nvram||PROD_au8Prod5Reserve||4||||||||0|1||||1|0|0||0
MCWDG_au8InitialMcwRomChecksum|uint8|NVMSRV|1|1|2|PROD_5_CIENUM_NvMRamBlockDataStruct.MCWDG_au8InitialMcwRomChecksum|0|0|Hexa|-|1|1|0|Nvram|Nvram||MCWDG_au8InitialMcwRomChecksum||4||||||||0|1||||1|0|0||0
PROD_au8CieValeoNumIdx|uint8|NVMSRV|1|1|2|PROD_5_CIENUM_NvMRamBlockDataStruct.PROD_au8CieValeoNumIdx|0|0|Hexa|-|1|1|0|Nvram|Nvram||PROD_au8CieValeoNumIdx||4||||||||0|1||||1|0|0||0
PROD_au8CieValeoNum|uint8|NVMSRV|1|1|5|PROD_5_CIENUM_NvMRamBlockDataStruct.PROD_au8CieValeoNum|0|0|Hexa|-|1|1|0|Nvram|Nvram||PROD_au8CieValeoNum||4||||||||0|1||||1|0|0||0
PROD_au8Prod8Reserve|uint8|NVMSRV|1|1|24|PROD_8_TRIMS_NvMRamBlockDataStruct.PROD_au8Prod8Reserve|0|0|Déci|-|1|1|0|Nvram|Nvram||PROD_au8Prod8Reserve||4||||||||0|1||||1|0|0||0
Version_eeprom|uint16|NVMSRV|1|0|0|EEPROM_VERSION_NvMRamBlockDataStruct.Version_eeprom|0|0|Hexa|-|1|1|0|Nvram|Nvram||Version_eeprom||4||||||||0|1||||1|0|0||0
Av_bmax_adapt_anti_k_cyl4|sint16|NVMSRV|1|1|15|KNKADPCOR_NvMRamBlockDataStruct.Av_bmax_adapt_anti_k_cyl4|0|0|Phys|°Vil|1|48/65536|0|Nvram|Nvram||Av_bmax_adapt_anti_k_cyl4||4||||||||0|1||||1|0|0||0
Av_bmax_adapt_anti_k_cyl3|sint16|NVMSRV|1|1|15|KNKADPCOR_NvMRamBlockDataStruct.Av_bmax_adapt_anti_k_cyl3|0|0|Phys|°Vil|1|48/65536|0|Nvram|Nvram||Av_bmax_adapt_anti_k_cyl3||4||||||||0|1||||1|0|0||0
Av_bmax_adapt_anti_k_cyl2|sint16|NVMSRV|1|1|15|KNKADPCOR_NvMRamBlockDataStruct.Av_bmax_adapt_anti_k_cyl2|0|0|Phys|°Vil|1|48/65536|0|Nvram|Nvram||Av_bmax_adapt_anti_k_cyl2||4||||||||0|1||||1|0|0||0
